Ticker,Date,Current_Value,Previous_Value,Previous_Date,Difference_Num,Difference_Pct,Check_Type,Threshold_Applied,Direction
DJCA,2018-11-12,8403.44,8561.83,2018-11-09,-158.39,-0.0185,DoD,0.01,down
DJCA,2018-11-20,8181.95,8366.6,2018-11-19,-184.65,-0.0221,DoD,0.01,down
DJCA,2018-11-26,8266.61,8167.4,2018-11-23,99.21,0.0121,DoD,0.01,up
DJCA,2018-11-28,8481.05,8305.13,2018-11-27,175.92,0.0212,DoD,0.01,up
DJCA,2018-11-30,8545.83,8455.23,2018-11-29,90.6,0.0107,DoD,0.01,up
DJCA,2018-12-04,8363.02,8619.47,2018-12-03,-256.45,-0.0298,DoD,0.01,down
DJCA,2018-12-07,8153.5,8343.42,2018-12-06,-189.92,-0.0228,DoD,0.01,down
DJCA,2018-12-11,8129.57,8619.47,2018-12-03,-489.9,-0.0568,WoW,0.05,down
DJCA,2018-12-14,8010.05,8143.86,2018-12-13,-133.81,-0.0164,DoD,0.01,down
DJCA,2018-12-17,7844.65,8010.05,2018-12-14,-165.4,-0.0206,DoD,0.01,down
DJCA,2018-12-19,7727.82,7862.88,2018-12-18,-135.06,-0.0172,DoD,0.01,down
DJCA,2018-12-19,7727.82,8155.06,2018-12-12,-427.24,-0.0524,WoW,0.05,down
DJCA,2018-12-20,7616.5,7727.82,2018-12-19,-111.32,-0.0144,DoD,0.01,down
DJCA,2018-12-20,7616.5,8143.86,2018-12-13,-527.36,-0.0648,WoW,0.05,down
DJCA,2018-12-21,7490.61,7616.5,2018-12-20,-125.89,-0.0165,DoD,0.01,down
DJCA,2018-12-21,7490.61,8010.05,2018-12-14,-519.44,-0.0648,WoW,0.05,down
DJCA,2018-12-24,7261.5,7490.61,2018-12-21,-229.11,-0.0306,DoD,0.01,down
DJCA,2018-12-24,7261.5,7844.65,2018-12-17,-583.15,-0.0743,WoW,0.05,down
DJCA,2018-12-26,7592.6,7261.5,2018-12-24,331.1,0.0456,DoD,0.01,up
DJCA,2019-01-02,7701.2,7261.5,2018-12-24,439.7,0.0606,WoW,0.05,up
DJCA,2019-01-03,7504.21,7701.2,2019-01-02,-196.99,-0.0256,DoD,0.01,down
DJCA,2019-01-04,7741.12,7504.21,2019-01-03,236.91,0.0316,DoD,0.01,up
DJCA,2019-01-08,7857.45,7763.19,2019-01-07,94.26,0.0121,DoD,0.01,up
DJCA,2019-01-10,7946.79,7504.21,2019-01-03,442.58,0.059,WoW,0.05,up
DJCA,2019-01-18,8148.46,8027.7,2019-01-17,120.76,0.015,DoD,0.01,up
DJCA,2019-01-22,8052.49,8148.46,2019-01-18,-95.97,-0.0118,DoD,0.01,down
DJCA,2019-01-30,8231.6,8115.68,2019-01-29,115.92,0.0143,DoD,0.01,up
DJCA,2019-02-12,8437.87,8333.83,2019-02-11,104.04,0.0125,DoD,0.01,up
DJCA,2019-02-15,8550.06,8453.13,2019-02-14,96.93,0.0115,DoD,0.01,up
DJCA,2019-03-11,8511.18,8420.47,2019-03-08,90.71,0.0108,DoD,0.01,up
DJCA,2019-03-21,8580.07,8492.88,2019-03-20,87.19,0.0103,DoD,0.01,up
